Topic,Frequency,date,Name
63,6,21/4/2020,63_congratulations_proud_muthukumarasamy...
64,20,21/4/2020,64_photo_picture_photos_pic
65,9,21/4/2020,65_ministers_cabinet_appreciate_prime
66,1,21/4/2020,66_vaccine_vaccines_antibodies_flu
67,4,21/4/2020,67_flight_flights_airport_changi
69,1,21/4/2020,69_recovery_discharged_wishing_discharge
70,2,21/4/2020,70_rental_landlords_landlord_rent
71,2,21/4/2020,71_morning_good_day_happy
72,2,21/4/2020,72_pasta_cheese_sauce_bacon
73,3,21/4/2020,73_vietnam_vietnamese_viet_donations
74,5,21/4/2020,74_sunset_sky_sun_sunsets
75,8,21/4/2020,75_bless_shepherd_flock_fauna
76,4,21/4/2020,76_video_videos_youtube_tv
77,14,21/4/2020,77_amazing_awesome_excellent_fantastic
79,12,21/4/2020,79_leader_politician_austrian_mendelsohn
80,5,21/4/2020,80_bid_bundle_bidders_osso
82,9,21/4/2020,82_rip_sad_ndp_loss
83,1,21/4/2020,83_evil_cruel_worst_hell
84,10,21/4/2020,84_love_thanks_beloved_raley
85,4,21/4/2020,85_mf_tm_tmr_lj
-1,477,25/4/2020,-1_together_bless_well_everyone
0,58,25/4/2020,0_ng_lim_wong_yang
1,18,25/4/2020,1_money_pay_jobs_salary
2,28,25/4/2020,2_singaporean_singaporeans_proud_ministe...
3,45,25/4/2020,3_hardcore_gastor_gateway_gates
4,15,25/4/2020,4_leadership_leaders_proud_kindness
5,10,25/4/2020,5_mask_wear_masks_face
6,11,25/4/2020,6_phase_ntuc_june_time
7,15,25/4/2020,7_hari_allah_muslim_ramadan
8,3,25/4/2020,8_police_jail_enforcement_fines
9,20,25/4/2020,9_care_appreciate_advice_caring
10,21,25/4/2020,10_safe_healthy_care_stay
11,7,25/4/2020,11_home_stay_safe_staying
12,7,25/4/2020,12_thanku_dear_sri_merci
13,20,25/4/2020,13_covid_fight_fighting_pandemic
14,6,25/4/2020,14_school_parents_schools_teachers
15,4,25/4/2020,15_china_taiwan_chinese_kong
16,12,25/4/2020,16_virus_coronavirus_corona_infected
17,10,25/4/2020,17_nurses_doctors_nurse_staff
18,3,25/4/2020,18_happy_wishes_buddha_wish
