Topic,Frequency,date,Name
44,22,28/6/2020,44_wishes_wish_administration_victories
46,4,28/6/2020,46_parliament_opposition_debates_debate
47,6,28/6/2020,47_hello_dear_cavair_archana
48,1,28/6/2020,48_police_enforcement_fined_laws
49,4,28/6/2020,49_china_chinese_mandarin_coronavirus
52,5,28/6/2020,52_evening_night_goodnight_nights
54,10,28/6/2020,54_hero_super_superman_star
55,1,28/6/2020,55_job_jobs_worked_rewarded
57,6,28/6/2020,57_esm_contributions_missed_contribution
58,16,28/6/2020,58_allah_bless_pray_insha
60,3,28/6/2020,60_malaysia_malay_malaysian_malays
62,18,28/6/2020,62_bangladesh_bangladeshi_workers_respec...
63,7,28/6/2020,63_shake_hands_fist_hand
64,11,28/6/2020,64_thanks_pro_sb_thankspro
65,5,28/6/2020,65_smile_happy_smiling_glad
66,13,28/6/2020,66_bless_diversity_squash_blessfor
67,15,28/6/2020,67_win_seat_winner_seats
68,2,28/6/2020,68_day_holiday_weekend_holidays
69,11,28/6/2020,69_win_victory_champion_winner
-1,1042,30/6/2020,-1_support_well_need_leader
0,110,30/6/2020,0_lim_jia_lai_jin
1,188,30/6/2020,1_health_healthy_stay_leadership
2,102,30/6/2020,2_singaporean_singaporeans_opposition_pa...
3,134,30/6/2020,3_frontliners_fu_fuel_frontliner
4,23,30/6/2020,4_minister_prime_cabinet_ministers
5,2,30/6/2020,5_congratulations_onward_journey_go
6,25,30/6/2020,6_mask_wear_wearing_masks
7,26,30/6/2020,7_hsien_singapure_congratulations_strong...
8,6,30/6/2020,8_retirement_retire_happy_contribution
9,36,30/6/2020,9_suicide_pain_parents_family
10,3,30/6/2020,10_border_malaysia_borders_causeway
11,3,30/6/2020,11_tcb_hougang_tanjong_sengkang
12,9,30/6/2020,12_money_pay_salary_donate
13,81,30/6/2020,13_choice_paa_lc_pr
14,6,30/6/2020,14_psp_ps_go_win
15,10,30/6/2020,15_virus_infected_vaccine_testing
16,24,30/6/2020,16_singapura_majullah_singapureans_singa...
17,42,30/6/2020,17_love_boos_animal_honesty
18,14,30/6/2020,18_thank_thanku_thankyou_notifying
20,39,30/6/2020,20_pray_bless_blessing_blessings
21,5,30/6/2020,21_father_fathers_dad_blessed
22,8,30/6/2020,22_election_elections_campaign_polling
23,35,30/6/2020,23_luck_lucky_best_fortune
24,49,30/6/2020,24_vote_opposition_election_parties
25,14,30/6/2020,25_sg_united_together_sar
26,44,30/6/2020,26_best_rocky_betterment_choices
27,6,30/6/2020,27_years_time_countdown_admin
